,Z_Rejon,POI,Czas_PrT,Czas_PuT
128,4.0,32.0,159.0094730055257,270.16023092323593
129,5.0,1.0,195.21108913411567,440.88063104991755
130,5.0,2.0,70.95650998316691,427.0958284493107
131,5.0,3.0,242.57405367921427,448.04695598238146
132,5.0,4.0,170.03659263998046,532.2526454821488
133,5.0,5.0,123.85177745365507,399.99050791016737
134,5.0,6.0,392.27059606156746,984.6617334029769
135,5.0,7.0,416.4810288612716,999999.0
136,5.0,8.0,127.22616717922627,454.53510763126144
137,5.0,9.0,64.57188468272716,266.37379842971234
138,5.0,10.0,66.16057133669887,446.48930997544653
139,5.0,11.0,94.09225351510773,279.6397585098357
140,5.0,12.0,80.8211575010768,251.66257304798887
141,5.0,13.0,81.65554720728056,89.77411258384772
142,5.0,14.0,132.51930220875113,298.91122466818905
143,5.0,15.0,86.80510293512229,279.6603407448831
144,5.0,16.0,229.24037238870903,291.44428266562653
145,5.0,17.0,59.87815562126618,196.522104734116
146,5.0,18.0,71.07201406755577,318.2471937974815
147,5.0,19.0,66.03244973577951,169.17465641854193
148,5.0,20.0,84.95953206693265,597.6475091460997
149,5.0,21.0,115.68504098448693,339.29998662486406
150,5.0,22.0,96.10216330756208,301.7893323281669
151,5.0,23.0,115.68666011763294,524.1341265868009
152,5.0,24.0,173.7614180875778,599.2593330659226
153,5.0,25.0,101.04394994301713,721.8340912933998
154,5.0,26.0,84.70851363557681,480.7099448814138
155,5.0,27.0,49.686429228823,345.87871383806623
156,5.0,28.0,121.14645683345705,198.21905790046864
157,5.0,29.0,76.76359295225733,999999.0
158,5.0,30.0,109.30703016531677,287.93313889757883
159,5.0,31.0,80.6079695722667,415.229765290544
160,5.0,32.0,160.88316366844663,271.84423092323595
161,6.0,1.0,192.7469768061386,436.99863104991755
162,6.0,2.0,71.63335748891863,429.0718284493107
163,6.0,3.0,242.49789679833492,443.3319559823815
164,6.0,4.0,168.68427901189415,528.3696454821488
165,6.0,5.0,126.82979938389394,401.33450791016736
166,6.0,6.0,389.80648373359037,980.783733402977
167,6.0,7.0,415.4032420402097,999999.0
168,6.0,8.0,127.09054587678474,452.5971076312614
169,6.0,9.0,62.95647518972485,266.98179842971234
170,6.0,10.0,64.25596456194879,447.09730997544654
171,6.0,11.0,92.61568976143555,279.0297585098357
172,6.0,12.0,78.95223028493943,251.05257304798886
173,6.0,13.0,79.95825718437133,87.66911258384772
174,6.0,14.0,131.44782518233822,299.519224668189
175,6.0,15.0,85.58737553043945,279.0503407448831
176,6.0,16.0,226.8542115221593,287.5622826656265
177,6.0,17.0,58.17597362154633,194.417104734116
178,6.0,18.0,71.30710094627347,320.2231937974815
179,6.0,19.0,67.42127151358687,171.15065641854193
180,6.0,20.0,86.56778544522827,599.8765091460997
181,6.0,21.0,113.29888011793717,335.4209866248641
182,6.0,22.0,93.71600244101232,297.9063323281669
183,6.0,23.0,115.98475232870177,523.7821265868008
184,6.0,24.0,175.25360607289068,600.6033330659227
185,6.0,25.0,104.4102351936628,727.7960912933997
186,6.0,26.0,88.80344307155823,486.2449448814138
187,6.0,27.0,53.40390505049371,351.41371383806626
188,6.0,28.0,124.40696487932738,203.75405790046864
189,6.0,29.0,76.50627484032098,999999.0
190,6.0,30.0,105.40066679091608,283.52413889757884
191,6.0,31.0,76.9871446347846,411.435765290544
192,6.0,32.0,157.95568483746823,268.050230923236
193,7.0,1.0,192.7516263598485,437.7306310499176
