,POI,Do_Rejon,Czas_PrT,Czas_PuT
178,17.0,6.0,58.17597362154633,194.417104734116
179,18.0,6.0,71.30710094627347,319.4711937974815
180,19.0,6.0,67.40475721042426,170.39865641854195
181,20.0,6.0,86.55127114206564,599.5325091460998
182,21.0,6.0,113.29888011793717,335.4209866248641
183,22.0,6.0,93.71600244101232,300.3063323281669
184,23.0,6.0,115.98475232870177,523.7821265868008
185,24.0,6.0,175.25360607289068,602.0993330659227
186,25.0,6.0,104.4102351936628,727.7960912933997
187,26.0,6.0,88.80344307155823,486.2449448814138
188,27.0,6.0,53.40390505049371,351.41371383806626
189,28.0,6.0,124.40696487932738,203.75405790046864
190,29.0,6.0,76.50627484032098,999999.0
191,30.0,6.0,105.40066679091608,283.52413889757884
192,31.0,6.0,76.9871446347846,411.435765290544
193,32.0,6.0,157.95568483746823,268.050230923236
194,1.0,7.0,192.7516263598485,437.7306310499176
195,2.0,7.0,73.58320174127468,432.6138284493107
196,3.0,7.0,244.93452047422704,451.7959559823815
197,4.0,7.0,168.33190492859455,527.8746454821488
198,5.0,7.0,129.24670285248573,407.1245079101673
199,6.0,7.0,388.11213905303754,976.293733402977
200,7.0,7.0,415.0508679569101,999999.0
201,8.0,7.0,128.42067770249992,454.6111076312614
202,9.0,7.0,64.89051077319823,267.00279842971236
203,10.0,7.0,65.89195976876547,447.11830997544655
204,11.0,7.0,93.32566471747636,277.7587585098357
205,12.0,7.0,80.46293697232043,249.78157304798887
206,13.0,7.0,82.39488086026344,91.15611258384772
207,14.0,7.0,133.49958174541086,300.081224668189
208,15.0,7.0,85.50274093088703,277.7793407448831
209,16.0,7.0,226.5018374388597,287.0672826656265
210,17.0,7.0,60.61259729743844,197.904104734116
211,18.0,7.0,73.6814647870195,323.76519379748146
212,19.0,7.0,69.64889893708097,174.69265641854193
213,20.0,7.0,88.67878524246763,603.8265091460997
214,21.0,7.0,111.58874000216281,333.69198662486406
215,22.0,7.0,93.15783109431217,297.4113323281669
216,23.0,7.0,118.42137600459388,528.4541265868008
217,24.0,7.0,178.14762401312146,606.3933330659227
218,25.0,7.0,106.82713866225458,732.0910912933998
219,26.0,7.0,91.17780691230426,490.53994488141376
220,27.0,7.0,55.77826889123975,355.7087138380662
221,28.0,7.0,126.7813287200734,208.04905790046865
222,29.0,7.0,80.36683991079146,999999.0
223,30.0,7.0,109.31632280008611,291.68313889757883
224,31.0,7.0,80.61726220703602,415.895765290544
225,32.0,7.0,160.89245630321597,272.51023092323595
226,1.0,8.0,192.88809137875927,436.87663104991753
227,2.0,8.0,73.34616038177617,431.7618284493107
228,3.0,8.0,244.91447304585435,450.94195598238144
229,4.0,8.0,165.39956726903137,524.7356454821488
230,5.0,8.0,129.22665542411303,406.27250791016735
231,6.0,8.0,389.8119271850586,979.4347334029769
232,7.0,8.0,413.6228209886269,999999.0
233,8.0,8.0,128.1836363430014,453.59010763126145
234,9.0,8.0,64.93649032307952,265.96179842971236
235,10.0,8.0,66.01556806468842,446.07730997544655
236,11.0,8.0,93.30561728910367,276.90575850983566
237,12.0,8.0,80.5994019912312,248.92857304798886
238,13.0,8.0,82.37483343189075,91.53411258384772
239,14.0,8.0,133.46057056045146,299.415224668189
240,15.0,8.0,85.48269350251434,276.9263407448831
241,16.0,8.0,225.7106617165375,286.2142826656265
242,17.0,8.0,60.592549869065756,198.28210473411602
243,18.0,8.0,73.6614173586468,322.9131937974815
244,19.0,8.0,69.41185757758245,173.84065641854193
245,20.0,8.0,88.292637144859,602.9745091460996
246,21.0,8.0,112.2340136304908,334.0699866248641
247,22.0,8.0,90.07910569745643,294.2723323281669
248,23.0,8.0,118.40132857622119,527.6021265868009
249,24.0,8.0,178.12757658474877,605.5413330659227
250,25.0,8.0,106.80709123388189,731.2380912933997
251,26.0,8.0,91.03722946525706,489.68694488141375
252,27.0,8.0,55.637691444192534,354.8557138380662
253,28.0,8.0,126.6407512730262,207.19605790046865
254,29.0,8.0,80.34679248241876,999999.0
255,30.0,8.0,109.29627537171342,290.82913889757884
256,31.0,8.0,80.59721477866333,415.041765290544
257,32.0,8.0,160.87240887484327,271.65623092323597
258,1.0,9.0,193.88874867423408,438.96963104991755
259,2.0,9.0,73.17768747831225,432.5058284493107
260,3.0,9.0,245.42166439244855,449.5749559823815
261,4.0,9.0,167.00991186387182,530.2626454821489
262,5.0,9.0,129.31699299860847,407.01750791016735
263,6.0,9.0,390.94825560168584,982.6767334029769
264,7.0,9.0,411.40404860364464,999999.0
265,8.0,9.0,128.0151634395375,454.5031076312614
266,9.0,9.0,65.16130283240436,266.89479842971235
267,10.0,9.0,66.57249672302714,447.01030997544655
268,11.0,9.0,93.86254594744238,277.65075850983567
269,12.0,9.0,81.26876244601779,249.67357304798887
